comments,duration,event,languages,main_speaker,name,num_speaker,views2,tags,number,lengths,views
355,1050,TED2004,37,Malcolm Gladwell,"Choice, happiness and spaghetti sauce",1,7023562,,,5,4389731
1234,1008,TED2010,57,Ken Robinson,Bring on the learning revolution!,1,7266316,,,5,4375111
412,1254,TED2004,39,Matthieu Ricard,The habits of happiness,1,7271730,,,4,4374792
219,628,TED2013,35,BLACK,My journey to yo-yo mastery,1,7373875,,,6,4364865
542,1060,TED2011,37,David Christian,The history of our world in 18 minutes,1,7481004,,,8,4329332
316,1140,TED2014,27,Hugh Herr,"The new bionics that let us run, climb and dance",1,7520736,,,10,4289903
1137,1313,TED2010,49,Jamie Oliver,Teach every child about food,1,7638978,,,5,4259204
370,1291,TED2015,32,Esther Perel,Rethinking infidelity ... a talk for anyone who has ever loved,1,8218896,,,10,4235594
604,914,TED2005,44,Arthur Benjamin,"A performance of ""Mathemagic""",1,8360707,,,4,4234334
551,612,TED2008,39,Stephen Hawking,Questioning the universe,1,8655723,,,3,4233352
736,207,TED2011,72,Matt Cutts,Try something new for 30 days,1,8838874,,,6,4204848
937,889,TED2013,34,Meg Jay,Why 30 is not the new 20,1,8958850,,,7,4191678
838,827,TED2013,40,Amanda Palmer,The art of asking,1,9006600,,,3,4190393
556,1407,TED2006,33,Helen Fisher,"Why we love, why we cheat",1,9260764,,,6,4165572
638,1243,TED2008,45,Benjamin Zander,The transformative power of classical music,1,9315483,,,6,4149065
253,583,TED2012,28,Reggie Watts,Beats that defy boxes,1,9315931,,,4,4119616
902,735,TED2013,41,Hyeonseo Lee,My escape from North Korea,1,9551344,,,5,4066376
768,522,TED2009,43,Pattie Maes + Pranav Mistry,Meet the SixthSense interaction,2,9753630,,,4,4060628
439,1081,TED2012,30,Jon Ronson,Strange answers to the psychopath test,1,10167161,,,6,4058274
645,1105,TED2011,42,Sarah Kay,If I should have a daughter ...,1,10529854,,,6,4040280
578,210,TED2005,66,Richard St. John,8 secrets of success,1,10841210,,,4,4039403
1355,1346,TED2015,41,Monica Lewinsky,The price of shame,1,11443190,,,4,4016531
593,1190,TED2006,48,Hans Rosling,The best stats you've ever seen,1,12005869,,,6,3982352
1604,1149,TED2009,49,Elizabeth Gilbert,Your elusive creative genius,1,13155478,,,4,3976339
669,1189,TED2004,28,Keith Barry,Brain magic,1,13327101,,,2,3930186
554,327,TED2007,47,David Gallo,Underwater astonishments,1,13926113,,,2,3917039
970,1276,TED2004,43,Dan Gilbert,The surprising science of happiness,1,14689301,,,5,3841631
