main_speaker,num_speaker,speaker_occupation
Reggie Watts,1,"Vocalist, beatboxer, comedian"
Regina Dugan,1,Former director of DARPA
Renny Gleeson,1,Skeptimist
Renny Gleeson,1,Skeptimist
Reshma Saujani,1,Education activist
Reuben Margolin,1,Kinetic sculptor
Rhiannon Giddens,1,Musician
Ric Elias,1,Entrepreneur
Riccardo Sabatini,1,"Scientist, entrepreneur"
Richard Baraniuk,1,Education visionary
Richard Branson,1,Entrepreneur
Richard Browning,1,"Founder, Gravity"
Richard Dawkins,1,Evolutionary biologist
Richard Ledgett,1,"Deputy director, NSA"
Richard Preston,1,Writer
Richard Pyle,1,Ichthyologist
Richard Sears,1,Geophysicist
Richard St. John,1,"Marketer, success analyst"
Richard St. John,1,"Marketer, success analyst"
Richard Turere,1,Inventor
Rick Warren,1,"Pastor, author"
Rives,1,"Performance poet, multimedia artist"
Rives,1,"Performance poet, multimedia artist"
Rives,1,"Performance poet, multimedia artist"
Rob Forbes,1,Designer
Rob Knight,1,Microbial ecologist
Rob Reid,1,"Author, entrepreneur"
Robert Ballard,1,Oceanographer
Robert Fischell,1,Biomedical inventor
Robert Full,1,Biologist
Robert Full,1,Biologist
Robert Full,1,Biologist
Robert Full,1,Biologist
Robert Gordon,1,Economist
Robert Gupta,1,Violinist
Robert Gupta + Joshua Roman,2,Violinist
Robert Hammond,1,Friend of the High Line
Robert Lang,1,Origamist
Robert Sapolsky,1,"Neuroscientist, primatologist, writer"
Robert Wright,1,"Journalist, philosopher"
Robin Chase,1,Transport networker
Robin Hanson,1,"Futurist, social scientist"
Rodney Brooks,1,Roboticist
Rodney Brooks,1,Roboticist
Roger Ebert,1,Film critic and blogger
Roman Mars,1,Digital storyteller
Ron Finley,1,Gardener
Ron Gutman,1,Entrepreneur
Rose George,1,Curious journalist
Ross Lovegrove,1,Industrial designer
Roy Gould + Curtis Wong,2,Researcher
Rutger Bregman,1,Historian
S Percussion,1,Percussion ensemble
Safwat Saleem,1,"Artist, graphic designer, filmmaker"
Saki Mafundikwa,1,Graphic designer
Sal Khan,1,Educator and social entrepreneur
Sam Harris,1,"Neuroscientist, philosopher"
Sanford Biggers,1,Conceptual artist
Sanjay Dastoor,1,Roboticist
Sara Lewis,1,Firefly specialist
Sara Seager,1,Exoplanet expert
Sarah Jones,1,Polymorphic playwright
Sarah Jones,1,Polymorphic playwright
Sarah Jones,1,Polymorphic playwright
Sarah Kay,1,Poet
Sarah Lewis,1,Writer
Sarah Parcak,1,Satellite archaeologist + TED Prize winner
Sarah Parcak,1,Satellite archaeologist + TED Prize winner
Saul Griffith,1,Inventor
Saul Griffith,1,Inventor
Scott McCloud,1,Cartoonist
Sean Gourley,1,Physicist and military theorist
Sebastian Thrun,1,Engineer
Sebastian Wernicke,1,Data scientist
Serena Williams and Gayle King,2,Athlete
Sergey Brin,1,"Computer scientist, entrepreneur and philanthropist"
Sergey Brin + Larry Page,2,"Computer scientist, entrepreneur and philanthropist"
Seth Berkley,1,Vaccine visionary
Seth Berkley,1,Vaccine visionary
Seth Godin,1,Marketer and author
Seth Godin,1,Marketer and author
Shah Rukh Khan,1,"Actor, producer, activist"
Shai Agassi,1,Green auto pioneer
Shai Reshef,1,Education entrepreneur
Shaka Senghor,1,Author
Shane Koyczan,1,Poet
ShaoLan,1,"Technologist, entrepreneur"
ShaoLan,1,"Technologist, entrepreneur"
Sharmeen Obaid-Chinoy,1,Filmmaker
Shea Hembrey,1,Artist and curator
Sheila Patek,1,"Biologist, biomechanics researcher"
Sherry Turkle,1,Cultural analyst
Sherwin Nuland,1,Doctor
Sherwin Nuland,1,Doctor
Shih Chieh Huang,1,Artist
Shivani Siroya,1,Mobile finance entrepreneur
Shonda Rhimes,1,Writer and producer
Shubhendu Sharma,1,Eco-entrepreneur
Siddhartha Mukherjee,1,Cancer physician and writer
Siegfried Woldhek,1,Illustrator
Silk Road Ensemble + Rhiannon Giddens,2,Musical explorers
Simon Sinek,1,Leadership expert
Sirena Huang,1,Violinist
Siyanda Mohutsiwa,1,Writer
Skylar Tibbits,1,Inventor
Skylar Tibbits,1,Inventor
Sleepy Man Banjo Boys,1,Bluegrass musicians
Sophal Ear,1,Development economist
Sophie Scott,1,"Neuroscientist, stand-up comic"
Stacey Kramer,1,Brand strategist
Stanley McChrystal,1,Military leader
Stanley McChrystal,1,Military leader
Stefan Sagmeister,1,Graphic designer
Stefan Sagmeister,1,Graphic designer
Stephen Friend,1,Open-science advocate
Stephen Hawking,1,Theoretical physicist
Stephen Lawler,1,General manager of Microsoft's Virtual Earth
Stephen Petranek,1,Technology forecaster 
Stephen Petranek,1,Technology forecaster 
Stephen Wilkes,1,Narrative photographer
Stephen Wolfram,1,"Scientist, inventor"
Steve Jurvetson,1,Venture capitalist
Steve Silberman,1,Writer and editor
Steven Addis,1,Brand strategist
Steven Johnson,1,Writer
Steven Levitt,1,Economist
Steven Pinker,1,Psychologist
Steven Pinker,1,Psychologist
Steven Pinker and Rebecca Newberger Goldstein,2,Philosopher and writer
Steven Strogatz,1,Mathematician
Steven Wise,1,Animal rights lawyer
Stew,1,Singer/songwriter
Stewart Brand,1,"Environmentalist, futurist"
Stewart Brand,1,"Environmentalist, futurist"
Stewart Brand,1,"Environmentalist, futurist"
Stewart Brand + Mark Z. Jacobson,2,"Environmentalist, futurist"
Sting,1,"Composer, singer, author, actor, activist"
Stuart Firestein,1,Neuroscientist
Stuart Russell,1,AI expert
Sue Desmond-Hellmann,1,"CEO, Gates Foundation"
Sugata Mitra,1,Education researcher
Suki Kim,1,Writer
Sunni Brown,1,Visualizer and gamestorming
Susan Blackmore,1,Memeticist
Susan Cain,1,Quiet revolutionary
Susan Pinker,1,Developmental psychologist
Susan Savage-Rumbaugh,1,Primate authority
Suzanne Lee,1,Designer
Sxip Shirey + Rachelle Garniez,2,Musician
Sylvia Earle,1,Oceanographer
T. Boone Pickens,1,Entrepreneur and energy theorist
T. Morgan Dixon and Vanessa Garrison,2,Health activist
Tabetha Boyajian,1,Astronomer
Tal Danino,1,Synthetic biologist
Tali Sharot,1,Cognitive neuroscientist
Taylor Wilson,1,Nuclear scientist
Taylor Wilson,1,Nuclear scientist
Ted Halstead,1,"Policy entrepreneur, climate expert, author"
Teitur,1,Singer-songwriter
Temple Grandin,1,"Livestock handling designer, autism activist"
Terry Moore,1,Thinker
Terry Moore,1,Thinker
The LXD,1,Dance adventurers
Theaster Gates,1,"Artist, potter, community builder"
Thelma Golden,1,Curator
Theo Jansen,1,Artist
They Might Be Giants,1,Band
Thom Mayne,1,Architect
Thomas Barnett,1,Military strategist
Thomas Dolby,2,Electronic music pioneer
Thomas Heatherwick,1,Designer
Thomas P. Campbell,1,Museum director
Tierney Thys,1,Marine biologist
Tim Berners-Lee,1,Inventor
Tim Berners-Lee,1,Inventor
Tim Berners-Lee,1,Inventor
Tim Ferriss,1,"Investor, human guinea pig, author"
Tim Urban,1,Blogger
Titus Kaphar,1,Artist
Tod Machover + Dan Ellsey,2,"Composer, inventor"
Tom Gruber,1,AI product designer
Tom Honey,1,Priest
Tom Hulme,1,"Designer, venturer"
Tom Rielly,1,Satirist
Tom Shannon,1,Sculptor
Tom Wujec,1,Designer
Tom Wujec,1,Designer
TomaÅs Saraceno,1,Artist
Tony Fadell,1,Product creator
Tony Robbins,1,Life coach; expert in leadership psychology
Torsten Reil,1,Animating neurobiologist
Travis Kalanick,1,Entrepreneur
Trevor Aaronson,1,Journalist
Tristan Harris,1,Design thinker
Tshering Tobgay,1,Prime Minister of Bhutan
Ueli Gegenschatz,1,Aerialist
Uldus Bakhtiozina,1,photographer + visual artist
Uri Hasson,1,Neuroscientist
Ursus Wehrli,1,Comedian
Vijay Kumar,1,Roboticist
Vik Muniz,1,Artist
Virginia Postrel,1,Journalist
Vishal Vaid,1,Musician
VS Ramachandran,1,Brain expert
Wadah Khanfar,1,Journalist
Wade Davis,1,"Anthropologist, ethnobotanist"
Wade Davis,1,"Anthropologist, ethnobotanist"
Wael Ghonim,1,Internet activist and computer engineer
Wanda Diaz Merced,1,Sonic astrophysicist
Wanuri Kahiu,1,"Filmmaker, writer"
Wendy Chung,1,Geneticist
Will Marshall,1,Space scientist
Will Potter,1,Investigative journalist
Will Wright,1,Game designer
William Li,1,Cancer researcher
William McDonough,1,Architect
Willie Smits,1,Conservationist
Woody Norris,1,Inventor
Yann Arthus-Bertrand,1,Photographer
Yoruba Richen,1,Documentary filmmaker
Yossi Vardi,1,Investor
Yves Behar,1,Designer
Yves Behar,1,Designer
Zach Kaplan + Keith Schacht,2,Inventor
Zak Ebrahim,1,Peace activist
Ze Frank,1,"Humorist, web artist"
Ziauddin Yousafzai,1,Education activist
Ziyah GaficÅ,1,Photographer + storyteller
